Bezeichnung_der_Einrichtung;Strasse;PLZ;Ort;E_Mail;Telefon;Bezeichnung_des_Traegers;Familienzentrum;Bezeichnung_des_Jugendamts;Strasse;PLZ;Ort
Ev. Tageseinrichtung für Kinder Am Hackenbruch 86;Am Hackenbruch 86;40231;Düsseldorf;kita.hackenbruch@diakonie-duesseldorf.de;0211 215611;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Diedenhofener Str. 7a-Kath. Kindertagesstätte St. Michael;Diedenhofener Straße 7 a;40476;Düsseldorf;st.michael-40476@t-online.de;0211/45 15 43;Kath. Kirchengem.  Hl. Dreifaltigkeit;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Tageseinrichtung für Kinder des UniversitätsKlinikums Moorenstraße 5 ;Moorenstraße 5;40225;Düsseldorf;Elke.Lojen@med.uni-duesseldorf.de;0211 8118300;Universitätskliniken Düsseldorf;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Schloßallee;Schloßallee 8a;40229;Düsseldorf;kita.schlossallee@diakonie-duesseldorf.de;0211 69541071;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Bülowstr. 5-Kath. Kindertagesstätte Hl. Dreifaltigkeit;Bülowstr. 5;40476;Düsseldorf;kita3f@t-online.de;0211/44 17 39;Kath. Kirchengem.  Hl. Dreifaltigkeit;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
städt. Tageseinrichtung für Kinder Siemensstraße;Siemensstr. 44;40227;Düsseldorf;meike.franz@duesseldorf.de;0211 / 780415;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Sternstraße;Sternstr. 35;40479;Düsseldorf;jutta.vinzentz@duesseldorf.de;0211 4982152;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
städt. Kindertageseinrichtung Sulzbachstraße 6;Sulzbachstraße 6;40629;Düsseldorf;Josef.riepe@duesseldorf.de;2111717495;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte Stresemannstraße des SKFM Düsseldorf e.V.;Stresemannstr. 21;40210;Düsseldorf;kita-stresemannstr@skfm-duesseldorf.de;0211 / 323338;Sozialdienst kath. Frauen und Männer Düsseldorf e. V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Sternwartstr. 65-Kath. Kindertagesstätte St. Bonifatius;Sternwartstraße 65;40223;Düsseldorf;kita-st.bonifatius-duesseldorf@t-online.de;0211/391300;Kath. Kirchengemeinde St. Bonifatius;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Steubenstraße ;Steubenstraße 17;40599;Düsseldorf;kita.steubenstrasse@diakonie-duesseldorf.de;0211 743685;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kanalstr. 2 -Kath. Kindertagestätte St. Anna;Kanalstr. 2;40547;Düsseldorf;kita.anna@santobene.de;0211/55 29 79 ;Kath. Kirchengemeinde St. Antonius und Benediktus;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Striegauer Weg ;Striegauer Weg 11;40627;Düsseldorf;kita.striegauerweg@diakonie-duesseldorf.de;0211 278735;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Talstr. 65 -Kath. Kindertagesstätte  St. Peter;Talstraße 65;40217;Düsseldorf;kitahotal@kitahotal.de;0211/37 92 08;Kath. Kirchengemeindeverband Unter- und Oberbilk. Friedrichstadt und Eller-West;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Dabringhauser Str. 34 -Kath. Kindertagesstätte St.Theresia;Dabringhauser Str. 34;40591;Düsseldorf;stw.kita@meinegemein.de;0211/768863;Kath. Kirchengemeindeverband Düsseldorfer Rheinbogen;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Ivo-Beucker-Straße;Ivo-Beucker-Straße 2;40237;Düsseldorf;nicole.kempers@duesseldorf.de;2116801016;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Tersteegenstraße 86;Tersteegenstr. 86;40474;Düsseldorf;kita.tersteegenstrasse@diakonie-duesseldorf.de;0211 434120;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Weseler Straße 47;Weseler Straße 47;40237;Düsseldorf;kita.weselerstrasse@diakonie-duesseldorf.de;0211 620775;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Roderbirkener Str.19-Familienzentrum  St. Maria Rosenkranz Montessori-Kinderhaus;Roderbirkener Str. 19;40591;Düsseldorf;familienzentrum@meinegemein.de;0211/768862;Kath. Kirchengemeindeverband Düsseldorfer Rheinbogen;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte Gerda Henkel _ Bonner Straße 22a;Bonner Straße 22a;40589;Düsseldorf;kita.gerda-henkel@awo-duesseldorf.de;0211-60025447;Arbeiterwohlfahrt Familienglobus gGmbH Düsseldorf;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Wiesdorfer Straße 15;Wiesdorfer Straße 15;40591;Düsseldorf;kita.wiesdorferstrasse@evdus.de;0211 7590454;Ev. Kirchengemeinde Düsseldorf-Wersten;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder  Wildenbruchstraße ;Wildenbruchstraße 39 c;40545;Düsseldorf;kita.wildenbruchstrasse@diakonie-duesseldorf.de;0211 588494;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte Marie Juchacz _ Von-Krüger-Str. 18;Von-Krüger-Str. 18;40229;Düsseldorf;kita.marie-juchacz@awo-duesseldorf.de;0211/60025465;Arbeiterwohlfahrt Familienglobus gGmbH Düsseldorf;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Offenbacher Weg 53 -Kath. integr.Kindertagesstätte St. Pius X;Offenbacher Weg 53;40229;Düsseldorf;kita_pius_x@web.de;0211/78 77 66;Kath. Kirchengemeindeverband Unter- und Oberbilk. Friedrichstadt und Eller-West;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte der Jüdischen Gemeinde;Kaiserswerther Str. 73 a ;40476;Düsseldorf ;kindertagesstaette@jgdus.de;0211-86323240;Jüdische Gemeinde Düsseldorf;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Julius-Raschdorff-Straße 4;Julius-Raschdorff-Straße 4;40595;Düsseldorf;kita.julius-raschdorff-strasse@diakonie-duesseldorf.de;0211 700176;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertageseinrichtung Zaunkönigweg 1;Zaunkönigweg 1;40470;Düsseldorf;karoline.muschiol@duesseldorf.de;0211-8993064;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertageseinrichtung Posener Straße 128;Posener Straße 128;40231;Düsseldorf;edeltraud.dudda@duesseldorf.de;0211/222335;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
städt. Kindertageseinrichtung  Hasseler Richtweg 76d;Hasseler Richtweg 76d;40229;Düsseldorf;bianka.enk@duesseldorf.de;211216607;Stadtverwaltung - Jugendamt -;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Dependance zur Schlüterstraße 99;Schwabstraße 1 (Dep. zur Schlüterstr. 99);40235;Düsseldorf;birgit.koehmstedt@duesseldorf.de;0211/9233915;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Werstener Feld;Werstener Feld 12;40591;Düsseldorf;gabriele.fothen@duesseldorf.de;0211/76 30 34;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Dependance zur St. Franziskusstr. 157;St. Franziskusstraße 175 (Dep. zur St. Franziskusstr. 157);40470;Düsseldorf;kita@duesseldorf.de;0211/908247;Stadtverwaltung - Jugendamt -;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Maikammer 18-Kath. Kindertagesstätte St.Nikolaus;Maikammer 18;40589;Düsseldorf;buero@meinegemeinde.de;0211/754786;Kath. Kirchengemeindeverband Düsseldorfer Rheinbogen;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertageseinrichtung Johannes-Weyer-Str. 7 (ehem. Universitätsstr. 1);Johannes-Weyer-Str. 7 (ehem. Universitätsstr. 1 (städt.));40225;Düsseldorf;cornelia.werschke@duesseldorf.de;0211 / 69510939;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Philipp-Scheidemann-Straße 15;Philipp-Scheidemann-Str. 15;40595;Düsseldorf;hildegard.deuster@duesseldorf.de;2117005710;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Kindertagesstätte Regenbogenland (Brorsstraße);Brorsstraße 7;40627;Düsseldorf;sabine.liedtke@mettmann.ekir.de;02104-970138;Ev. Kirchengemeinde Erkrath c/o Verwaltungsamt KK D-Mettmann;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Im kleinen Winkel 11 -Kath. Kindertagesstätte St. Agnes;Im kleinen Winkel 11;40489;Düsseldorf;kita@sanktagnes.de;0203/741901;Kath. Kirchengemeindeverband Angerland/Kaiserswerth;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Regenbogen (An den Linden) ;An den Linden 7;40489;Düsseldorf;sabine.liedtke@mettmann.ekir.de;02104 -970138;Ev. Kirchengemeinde Lintorf-Angermund c/o Verwaltungsamt KK D-Mettmann;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Kindertagesstätte Am Türmchen (Am Mergelsberg);Am Mergelsberg 3 a;40629;Düsseldorf;sabine.liedtke@mettmann.ekir.de;02104-970138;Ev. Kirchengemeinde Homberg c/o Verwaltungsamt KK D-Mettmann;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Edmund-Bertrams-Str. 7 -Kath. Kindertagesstätte St.Lambertus;Edmund-Bertrams-Straße 7;40489;Düsseldorf;kigast.lambertus@T-Online.de;0211/407766;Kath. Kirchengemeindeverband Angerland/Kaiserswerth;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kath. Kindertagesstätte Wittenbruchplatz;Wittenbruchplatz 10;40627;Düsseldorf;info@kindergarten-st-mariae-himmelfahrt-unterbach.de;0211/ 255604;Kath. Kirchengemeinde St. Johannes der Täufer und Mariä Himmelfahrt;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertageseinrichtung St.-Franziskus-Straße 157 (Dep. St. Franziskus-Str. 175);St.-Franziskus-Str. 157;40470;Düsseldorf;kita@duesseldorf.de;0211-908247;Stadtverwaltung - Jugendamt -;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Pastoratsweg 25 -Kath. Kindertagesstätte St. Remigius;Pastoratsweg 25;40489;Düsseldorf;KITA_St.Remigius@t-online.de;0211/404954;Kath. Kirchengemeindeverband Angerland/Kaiserswerth;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte Bilker Rotznasen e.V.;Martinstraße 58;40223;Düsseldorf;nkeuntje@gmx.de;0162-6285803;Kinderladen Bilker Rotznasen e.V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertageseinrichtung Velberter Straße;Velberter Str. 26;40227;Düsseldorf;kerstin.breuer@duesseldorf.de;0211 / 7883256;Stadtverwaltung - Jugendamt -;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Kolhagenstraße;Kolhagenstr. 11;40593;Düsseldorf;christiane.altwicker@duesseldorf.de;0211/7118688;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Sankt-Franziskus-Str. 5a-Japanischer Kindergarten St. Franziskus-Xaverius;Sankt-Franziskus-Str. 5a;40470;Düsseldorf;kath.jap.kita@gmx.de;0211/672006;Kath. Kirchengemeinde St. Franziskus-Xaverius;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Stralsunder Straße 28;Stralsunder Str. 28;40595;Düsseldorf;ramona.schaefer@duesseldorf.de;211707782;Stadtverwaltung - Jugendamt -;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Förderungszentrum 51/290 Gothaer Weg;Gothaer Weg 59;40627;Düsseldorf;foerderungszentrum@duesseldorf.de;0211-9263120;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Im Grund;Im Grund 99;40474;Düsseldorf;rositha.wenzel@duesseldorf.de;0211 / 452815;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte Spatzennest _ Reinhold-Schneider-Str. 4;Reinhold-Schneider-Str. 4;40595;Düsseldorf;kita.spatzennest@awo-duesseldorf.de;0211-60025462;Arbeiterwohlfahrt Familienglobus gGmbH Düsseldorf;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kath. Kindertagesstätte St. Joseph _ Hinter den Höfen 9;Hinter den Höfen 9;40589 Düsseldorf;Düsseldorf;kita.joseph-hdh@flingern-mobil.de;0211 793778;Flingern mobil e.V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Leichlinger Str. 68;Leichlinger Straße 68;40591;Düsseldorf;Kita.leichlingerstrasse@evdus.de;0211 765828;Ev. Kirchengemeinde Düsseldorf-Wersten;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Buchenstraße;Buchenstr. 14a;40599;Düsseldorf;ute.yankam@duesseldorf.de;0211/74 89 020;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Dependance zu In der Donk;Potsdamer Straße 39;40599;Düsseldorf;stefanie.plata@duesseldorf.de;0211 8924700;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte Kicherbohne (Bergische Landstraße);Bergische Landstraße 2;40629;Düsseldorf;schwandt@kicherbohne.de;0160-90961129;Kindertagesstätte Kicherbohne e. V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertageseinrichtung Oberkasseler Straße;Oberkasseler Strasse 57 - 59;40545;Düsseldorf;gisela.hofmann@duesseldorf.de;2118928387;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kita an der Elly-Heuss- Knapp-Kollegschule;Siegburger Straße 139;40591;Düsseldorf;irma.kleinluyten@duesseldorf.de;0211 / 8922359;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
städt. Kindertageseinrichtung Am Hackenbruch 29;Am Hackenbruch 29;40231;Düsseldorf;annette.huthnehrig@duesseldorf.de;0211/22 68 68;Stadtverwaltung - Jugendamt -;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Graf-von-Stauffenberg-Straße 71;Graf-von-Stauffenberg-Straße 71;40595;Düsseldorf;elvira.haase@duesseldorf.de;211704653;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Bingener Weg 5;Bingener Weg 5;40229;Düsseldorf;kita.bingenerweg@diakonie-duesseldorf.de;0211 721862;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Balckestraße;Balckestr. 11;40597;Düsseldorf;myrjam.wieser@duesseldorf.de;0211/713395;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Grevenbroicher Weg ;Grevenbroicher Weg 3a;40547;Düsseldorf;kita.grevenbroicherweg@diakonie-duesseldorf.de;0211 593382;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Integrative Einrichtung  Am Turnisch 5  Kleiner Planet;Am Turnisch 5;40231;Düsseldorf;wiegmann@lebenshilfe-duesseldorf.de;0211-59879127;Lebenshilfe Düsseldorf e.V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte Pusteblume _ Liststraße 2;Liststraße 2;40470;Düsseldorf;kita.pusteblume@awo-duesseldorf.de;0211-60025107;Arbeiterwohlfahrt Familienglobus gGmbH Düsseldorf;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Dependance zu Wimpfener Str. 17 _ Melanchthonstr.2a;Melanchthonstr.2a (Dep. zur Wimpfener Str. 17);40597;Düsseldorf;kita.caecilia@flingern-mobil.de;0211 715506;Flingern mobil e.V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Kindertagesstätte Neuenhofstraße ;Neuenhofstraße 1;40472;Düsseldorf;kita.neuenhofstrasse@diakonie-duesseldorf.de;0211 9047057;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Pionierstraße 61;Pionierstraße 61;40217;Düsseldorf;kita.pionierstrasse@diakonie-duesseldorf.de;0211 376356;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Wittenberger Weg 44;Wittenberger Weg 44;40593;Düsseldorf;monika.jahnwinter@duesseldorf.de;2117393930;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Familienzentrum Wittenberger Weg des SKFM Düsseldorf e.V.;Wittenberger Weg 108;40593;Düsseldorf;kita-wittenberger-weg@skfm-duesseldorf.de;0211 / 707998;Sozialdienst kath. Frauen und Männer Düsseldorf e. V.;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertageseinrichtung Siegburger Str. 12;Siegburger Straße 12;40591;Düsseldorf;sonja.langenscheid@duesseldorf.de;0211 / 72139023;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Stettiner Straße 32;Stettiner Str. 32;40595;Düsseldorf;doris.kleve@duesseldorf.de;0211/707437;Stadtverwaltung - Jugendamt -;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Dreherstraße;Dreherstraße 210c;40625;Düsseldorf;kita.dreherstrasse@diakonie-duesseldorf.de;0211 234525;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Gladbacher Straße 25;Gladbacher Straße 25;40219;Düsseldorf;kita.gladbacherstrasse@diakonie-duesseldorf.de;0211 306194;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Emil-Barth-Straße 157;Emil-Barth-Str. 157;40595;Düsseldorf;margret.hesse@duesseldorf.de;211709686;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
städt. Kindertageseinrichtung Chemnitzer Straße 43;Chemnitzer Straße 43;40627;Düsseldorf;gudrun.hermanns@duesseldorf.de;2115869886;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Fröhlenstraße;Fröhlenstraße 9;40599;Düsseldorf;ruth.strohm@duesseldorf.de;0211/746270;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte  Carl-Friedrich-Goerdeler-Str. 2  Integrierter Sprachheilkindergarten;Carl-Friedrich-Goerdeler-Str. 2;40595;Düsseldorf;sabine.loeffler@duesseldorf.de;2117394440;Stadtverwaltung - Jugendamt -;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
städt. Kindertageseinrichtung Erwin-Rommel-Straße 17;Erwin-Rommel-Straße 17;40470;Düsseldorf;nicht vorhanden;0211-638285;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte Montessori Kinderhaus;Sigmaringenstr. 2;40547;Düsseldorf;ruth.nasshan-grundl@mkho.de;0211-570709;Montessori-Kinderhaus Oberkassel e. V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Prenzlauer Str. 4 -Montessori-Kinderhaus St. Theresia;Prenzlauer Str. 4;40595;Düsseldorf;kinderhaus-st-theresia@st-matthaeus-duesseldorf.de;0211/706806;Kath. Kirchengemeinde St. Matthäus;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
städt. Kindertageseinrichtung Richardstraße 8;Richardstraße 8;40231;Düsseldorf;veronika.sauer@duesseldorf.de;0211-224877;Stadtverwaltung - Jugendamt -;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Robert-Kratz-Weg;Robert-Kratz-Weg 20;40593;Düsseldorf;cornelia.schmitz@duesseldorf.de; 0211/707270;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Waldorfkindergarten Goldberg (Hagener Straße);Hagener Straße  60;40625;Düsseldorf;info@waldorfkindergarten-goldberg.de;0211 / 299282;Waldorfkindergarten Goldberg e. V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Kaldenberger Straße ;Kaldenberger Straße 31;40589;Düsseldorf;kita.kaldenbergerstrasse@diakonie-duesseldorf.de;0211 793255;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Carlo-Schmid-Str. 24 -Montessori-Kinderhaus St. Matthäus;Carlo-Schmid-Str. 24;40595;Düsseldorf;kita-matthaeus@t-online.de;0211/7000451;Kath. Kirchengemeinde St. Matthäus;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
